id,mode,film_a,film_b,lens,coverage_level,coverage_score,answer_quality_score,passed,critical_failures,judge_error,theme_card_titles,theme_card_summaries
analyze_memento_memory,analyze_film,memento,,Memory,high,1.0,,True,none,,,
analyze_black_swan_performance,analyze_film,black-swan,,Performance,high,1.0,,True,none,,,
analyze_taxi_driver_isolation,analyze_film,taxi-driver,,Isolation,high,0.93,,True,none,,,
analyze_machinist_guilt,analyze_film,the-machinist,,Guilt,high,1.0,,True,none,,,
analyze_donnie_darko_reality,analyze_film,donnie-darko,,Reality vs Illusion,high,1.0,,True,none,,,
analyze_truman_control,analyze_film,truman-show,,Control,high,1.0,,True,none,,,
analyze_gone_girl_performance,analyze_film,gone-girl,,Performance,high,1.0,,True,none,,,
analyze_prisoners_justice,analyze_film,prisoners,,Justice,high,0.76,,True,none,,,
analyze_fight_club_identity,analyze_film,fight-club,,Identity,high,1.0,,True,none,,,
analyze_se7en_justice,analyze_film,se7en,,Justice,high,0.93,,True,none,,,
analyze_shutter_island_trauma,analyze_film,shutter-island,,Trauma,high,1.0,,True,none,,,
analyze_mulholland_drive_identity,analyze_film,mulholland-drive,,Identity,high,1.0,,True,none,,,
compare_memento_shutter_guilt,compare_films,memento,shutter-island,Guilt,high,1.0,,True,none,,,
compare_memento_shutter_memory,compare_films,memento,shutter-island,Memory,high,0.92,,True,none,,,
compare_black_swan_prestige_performance,compare_films,black-swan,the-prestige,Performance,high,1.0,,True,none,,,
compare_taxi_fight_violence,compare_films,taxi-driver,fight-club,Violence,high,0.92,,True,none,,,
compare_truman_gone_girl_control,compare_films,truman-show,gone-girl,Control,high,1.0,,True,none,,,
compare_truman_gone_girl_performance,compare_films,truman-show,gone-girl,Performance,high,0.92,,True,none,,,
compare_se7en_prisoners_justice,compare_films,se7en,prisoners,Justice,high,1.0,,True,none,,,
compare_shawshank_cuckoo_control,compare_films,shawshank-redemption,one-flew-over-the-cuckoos-nest,Control,high,1.0,,True,none,,,
compare_shawshank_truman_freedom,compare_films,shawshank-redemption,truman-show,Freedom,high,1.0,,True,none,,,
compare_shawshank_se7en_justice,compare_films,shawshank-redemption,se7en,Justice,high,1.0,,True,none,,,
compare_fight_club_black_swan_identity,compare_films,fight-club,black-swan,Identity,high,1.0,,True,none,,,
compare_fight_club_prestige_obsession,compare_films,fight-club,the-prestige,Obsession,high,1.0,,True,none,,,
compare_fight_club_gone_girl_identity,compare_films,fight-club,gone-girl,Identity,high,0.92,,True,none,,,
compare_cuckoo_lambs_control,compare_films,one-flew-over-the-cuckoos-nest,silence-of-the-lambs,Control,high,0.92,,True,none,,,
compare_cuckoo_truman_freedom,compare_films,one-flew-over-the-cuckoos-nest,truman-show,Freedom,high,1.0,,True,none,,,
compare_se7en_machinist_guilt,compare_films,se7en,the-machinist,Guilt,high,1.0,,True,none,,,
compare_se7en_requiem_obsession,compare_films,se7en,requiem-for-a-dream,Obsession,high,1.0,,True,none,,,
compare_lambs_black_swan_control,compare_films,silence-of-the-lambs,black-swan,Control,high,1.0,,True,none,,,
compare_lambs_gone_girl_identity,compare_films,silence-of-the-lambs,gone-girl,Identity,high,0.84,,True,none,,,
compare_prestige_truman_performance,compare_films,the-prestige,truman-show,Performance,high,1.0,,True,none,,,
