id,mode,film_a,film_b,lens,coverage_level,coverage_score,answer_quality_score,passed,critical_failures,judge_error,theme_card_titles,theme_card_summaries
analyze_memento_memory,analyze_film,memento,,Memory,high,1.0,5.0,False,"[""not_every_card_has_visible_or_audible_detail""]",,,
analyze_black_swan_performance,analyze_film,black-swan,,Performance,high,0.93,5.0,True,[],,,
analyze_taxi_driver_isolation,analyze_film,taxi-driver,,Isolation,high,0.93,5.0,True,[],,,
analyze_machinist_guilt,analyze_film,the-machinist,,Guilt,high,1.0,5.0,True,[],,,
analyze_donnie_darko_reality,analyze_film,donnie-darko,,Reality vs Illusion,high,1.0,4.9,False,"[""not_every_card_has_visible_or_audible_detail""]",,,
analyze_truman_control,analyze_film,truman-show,,Control,high,1.0,5.0,False,"[""not_every_card_has_visible_or_audible_detail""]",,,
analyze_gone_girl_performance,analyze_film,gone-girl,,Performance,high,0.93,5.0,True,[],,,
analyze_prisoners_justice,analyze_film,prisoners,,Justice,high,0.76,5.0,False,"[""not_every_card_has_visible_or_audible_detail""]",,,
compare_memento_shutter_guilt,compare_films,memento,shutter-island,Guilt,high,0.92,4.7,True,[],,,
compare_black_swan_prestige_performance,compare_films,black-swan,the-prestige,Performance,high,1.0,5.0,True,[],,,
compare_taxi_fight_violence,compare_films,taxi-driver,fight-club,Violence,high,1.0,4.9,False,"[""not_every_card_has_visible_or_audible_detail""]",,,
compare_truman_gone_girl_control,compare_films,truman-show,gone-girl,Control,high,1.0,5.0,False,"[""comparison_retrieval_unbalanced""]",,,
theme_memory,explore_theme,,,Memory,high,1.0,,True,[],,Memento,"Memento: A man with short-term memory loss tries to find his wife's killer by relying on photographs, notes, and tattoos to piece together the truth."
theme_performance,explore_theme,,,Performance,high,1.0,,True,[],,The Prestige | Black Swan | Gone Girl | The Truman Show | Mulholland Drive,"The Prestige: Two rival magicians become consumed by their competition, sacrificing everything in their pursuit of the ultimate illusion. | Black Swan: A perfectionist ballerina spirals into paranoia and obsession as she struggles to embody both sides of the lead role in Swan Lake. | Gone Girl: When a woman mysteriously disappears on her wedding anniversary, suspicion falls on her husband as the media turns their marriage into a spectacle. | The Truman Show: A man living an idyllic suburban life gradually discovers that his entire existence is a reality television show filmed without his knowledge. | Mulholland Drive: An aspiring actress and an amnesiac woman become entangled in a strange mystery that blurs the line between Hollywood dreams and reality."
theme_justice,explore_theme,,,Justice,high,0.83,,True,[],,Se7en | The Shawshank Redemption | Prisoners,"Se7en: Two detectives hunt a serial killer who uses the seven deadly sins as inspiration for a series of gruesome murders. | The Shawshank Redemption: A banker sentenced to life in prison forms an unlikely friendship with a fellow inmate while holding onto hope for freedom. | Prisoners: When his young daughter and her friend disappear, a desperate father takes matters into his own hands while a detective investigates the case."
theme_control,explore_theme,,,Control,high,0.92,,True,[],,One Flew Over the Cuckoo's Nest | The Shawshank Redemption | Black Swan | The Silence of the Lambs | Gone Girl | Requiem for a Dream,"One Flew Over the Cuckoo's Nest: A rebellious criminal fakes insanity to avoid prison but finds himself battling the oppressive authority of a psychiatric hospital. | The Shawshank Redemption: A banker sentenced to life in prison forms an unlikely friendship with a fellow inmate while holding onto hope for freedom. | Black Swan: A perfectionist ballerina spirals into paranoia and obsession as she struggles to embody both sides of the lead role in Swan Lake. | The Silence of the Lambs: A young FBI trainee seeks the help of an imprisoned cannibal to catch a serial killer who skins his victims. | Gone Girl: When a woman mysteriously disappears on her wedding anniversary, suspicion falls on her husband as the media turns their marriage into a spectacle. | Requiem for a Dream: Four people become consumed by their addictions as their dreams of a better life give way to increasingly devastating consequences."
theme_reality,explore_theme,,,Reality vs Illusion,high,0.83,,True,[],,Shutter Island | Memento | Donnie Darko | The Sixth Sense | The Truman Show | Mulholland Drive,"Shutter Island: A U.S. marshal investigates the disappearance of a patient from an isolated mental institution and begins to question his own reality. | Memento: A man with short-term memory loss tries to find his wife's killer by relying on photographs, notes, and tattoos to piece together the truth. | Donnie Darko: A troubled teenager begins experiencing visions of a mysterious figure in a rabbit costume who tells him the world will soon end. | The Sixth Sense: A troubled boy who claims to see dead people seeks help from a child psychologist who is struggling with his own personal failures. | The Truman Show: A man living an idyllic suburban life gradually discovers that his entire existence is a reality television show filmed without his knowledge. | Mulholland Drive: An aspiring actress and an amnesiac woman become entangled in a strange mystery that blurs the line between Hollywood dreams and reality."
theme_trauma,explore_theme,,,Trauma,high,1.0,,True,[],,Shutter Island | The Sixth Sense | Requiem for a Dream | Donnie Darko | The Machinist,Shutter Island: A U.S. marshal investigates the disappearance of a patient from an isolated mental institution and begins to question his own reality. | The Sixth Sense: A troubled boy who claims to see dead people seeks help from a child psychologist who is struggling with his own personal failures. | Requiem for a Dream: Four people become consumed by their addictions as their dreams of a better life give way to increasingly devastating consequences. | Donnie Darko: A troubled teenager begins experiencing visions of a mysterious figure in a rabbit costume who tells him the world will soon end. | The Machinist: A machinist who has not slept in a year becomes increasingly paranoid as his deteriorating mental state draws him into a disturbing mystery.
