id,film_slug,film_title,lens,lens_scope,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,overall
shawshank-redemption__hope,shawshank-redemption,The Shawshank Redemption,Hope,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
shawshank-redemption__institutional_control,shawshank-redemption,The Shawshank Redemption,Institutional Control,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
shawshank-redemption__friendship,shawshank-redemption,The Shawshank Redemption,Friendship,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
fight-club__masculinity,fight-club,Fight Club,Masculinity,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
fight-club__consumerism,fight-club,Fight Club,Consumerism,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
fight-club__doubles,fight-club,Fight Club,Doubles,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__institutional_power,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Institutional Power,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__rebellion,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Rebellion,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__madness,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Madness,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
se7en__moral_decay,se7en,Se7en,Moral Decay,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
silence-of-the-lambs__power,silence-of-the-lambs,The Silence of the Lambs,Power,secondary,12,1.0,1.0,1.0,0.0,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 4, ""scene_evidence"": 2}",pass
silence-of-the-lambs__fear,silence-of-the-lambs,The Silence of the Lambs,Fear,secondary,12,1.0,1.0,1.0,0.0,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
silence-of-the-lambs__gender,silence-of-the-lambs,The Silence of the Lambs,Gender,secondary,12,1.0,1.0,1.0,0.0,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 4, ""scene_evidence"": 2}",pass
the-prestige__sacrifice,the-prestige,The Prestige,Sacrifice,secondary,12,1.0,1.0,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 3, ""interpretive_claim"": 4, ""scene_evidence"": 5}",pass
the-prestige__doubles,the-prestige,The Prestige,Doubles,secondary,12,1.0,1.0,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 6, ""interpretive_claim"": 1, ""scene_evidence"": 5}",pass
the-prestige__truth,the-prestige,The Prestige,Truth,secondary,12,1.0,0.917,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 6, ""interpretive_claim"": 1, ""scene_evidence"": 5}",pass
memento__truth,memento,Memento,Truth,secondary,12,1.0,1.0,1.0,0.0,6,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
memento__self-deception,memento,Memento,Self-Deception,secondary,12,1.0,1.0,1.0,0.0,6,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
taxi-driver__masculinity,taxi-driver,Taxi Driver,Masculinity,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
taxi-driver__alienation,taxi-driver,Taxi Driver,Alienation,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
taxi-driver__moral_delusion,taxi-driver,Taxi Driver,Moral Delusion,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
