id,mode,film_a,film_b,lens,trials,retrieval_guardrails_pass_rate,answer_faithfulness,answer_relevance,answer_coverage_level,answer_coverage_score,answer_retry_used,answer_failure_count,answer_judge_available,answer_judge_gate_passed,answer_first_passed,avg_response_latency_seconds
analyze_memento_memory,analyze_film,memento,,Memory,3,100.0,,,high,1.0,False,0,True,,,10.918
analyze_black_swan_performance,analyze_film,black-swan,,Performance,3,100.0,,,high,1.0,False,0,True,,,
analyze_taxi_driver_isolation,analyze_film,taxi-driver,,Isolation,3,100.0,,,high,0.93,False,0,True,,,
analyze_machinist_guilt,analyze_film,the-machinist,,Guilt,3,100.0,,,high,1.0,False,0,True,,,
analyze_donnie_darko_reality,analyze_film,donnie-darko,,Illusion,3,0.0,,,high,1.0,False,0,True,,,
analyze_truman_control,analyze_film,truman-show,,Control,3,100.0,,,high,1.0,False,0,True,,,
analyze_gone_girl_performance,analyze_film,gone-girl,,Performance,3,100.0,,,high,1.0,True,0,True,,,
analyze_prisoners_justice,analyze_film,prisoners,,Justice,3,100.0,,,high,0.76,False,0,False,,,
analyze_fight_club_identity,analyze_film,fight-club,,Identity,3,100.0,,,high,1.0,False,0,True,,,
analyze_se7en_justice,analyze_film,se7en,,Justice,3,100.0,,,high,0.93,False,0,True,,,
analyze_shutter_island_trauma,analyze_film,shutter-island,,Trauma,3,100.0,,,high,1.0,False,0,True,,,
analyze_mulholland_drive_identity,analyze_film,mulholland-drive,,Identity,3,100.0,,,high,1.0,False,0,True,,,
analyze_shawshank_justice,analyze_film,shawshank-redemption,,Justice,3,100.0,,,,,,,,,,
analyze_cuckoo_freedom,analyze_film,one-flew-over-the-cuckoos-nest,,Freedom,3,100.0,,,,,,,,,,
analyze_lambs_identity,analyze_film,silence-of-the-lambs,,Identity,3,100.0,,,,,,,,,,
analyze_prestige_obsession,analyze_film,the-prestige,,Obsession,3,100.0,,,,,,,,,,
analyze_sixth_sense_trauma,analyze_film,sixth-sense,,Trauma,3,100.0,,,,,,,,,,
analyze_prisoners_violence,analyze_film,prisoners,,Violence,3,0.0,,,,,,,,,,
analyze_requiem_trauma,analyze_film,requiem-for-a-dream,,Trauma,3,100.0,,,,,,,,,,
analyze_donnie_isolation,analyze_film,donnie-darko,,Isolation,3,100.0,,,,,,,,,,
analyze_memento_identity,analyze_film,memento,,Identity,3,100.0,,,,,,,,,,
analyze_taxi_driver_violence,analyze_film,taxi-driver,,Violence,3,100.0,,,,,,,,,,
analyze_black_swan_obsession,analyze_film,black-swan,,Obsession,3,100.0,,,,,,,,,,
analyze_truman_performance,analyze_film,truman-show,,Performance,3,100.0,,,,,,,,,,
compare_memento_shutter_guilt,compare_films,memento,shutter-island,Guilt,3,100.0,,,high,1.0,False,0,True,,,
compare_memento_shutter_reality,compare_films,memento,shutter-island,Illusion,3,0.0,,,,,,,,,,
compare_black_swan_prestige_performance,compare_films,black-swan,the-prestige,Performance,3,100.0,,,high,1.0,False,0,True,,,
compare_taxi_fight_violence,compare_films,taxi-driver,fight-club,Violence,3,100.0,,,high,0.92,False,0,True,,,
compare_truman_gone_girl_control,compare_films,truman-show,gone-girl,Control,3,100.0,,,high,1.0,False,0,True,,,
compare_truman_gone_girl_performance,compare_films,truman-show,gone-girl,Performance,3,100.0,,,high,0.92,False,0,True,,,
compare_se7en_prisoners_justice,compare_films,se7en,prisoners,Justice,3,100.0,,,high,1.0,False,0,True,,,
compare_shawshank_cuckoo_control,compare_films,shawshank-redemption,one-flew-over-the-cuckoos-nest,Control,3,100.0,,,high,1.0,False,0,True,,,
compare_shawshank_truman_freedom,compare_films,shawshank-redemption,truman-show,Freedom,3,100.0,,,high,1.0,False,0,True,,,
compare_shawshank_se7en_justice,compare_films,shawshank-redemption,se7en,Justice,3,100.0,,,high,1.0,False,0,True,,,
compare_fight_club_black_swan_identity,compare_films,fight-club,black-swan,Identity,3,100.0,,,high,1.0,False,0,True,,,
compare_fight_club_prestige_obsession,compare_films,fight-club,the-prestige,Obsession,3,100.0,,,high,1.0,False,0,True,,,
compare_fight_club_gone_girl_identity,compare_films,fight-club,gone-girl,Identity,3,100.0,,,high,0.92,False,0,True,,,
compare_cuckoo_lambs_control,compare_films,one-flew-over-the-cuckoos-nest,silence-of-the-lambs,Control,3,100.0,,,high,0.92,False,0,True,,,
compare_cuckoo_truman_freedom,compare_films,one-flew-over-the-cuckoos-nest,truman-show,Freedom,3,100.0,,,high,1.0,False,0,True,,,
compare_se7en_machinist_guilt,compare_films,se7en,the-machinist,Guilt,3,100.0,,,high,1.0,False,0,True,,,
compare_se7en_requiem_obsession,compare_films,se7en,requiem-for-a-dream,Obsession,3,100.0,,,high,1.0,False,0,True,,,
compare_lambs_black_swan_control,compare_films,silence-of-the-lambs,black-swan,Control,3,100.0,,,high,1.0,False,0,True,,,
compare_lambs_gone_girl_identity,compare_films,silence-of-the-lambs,gone-girl,Identity,3,100.0,,,high,0.84,False,0,True,,,
compare_prestige_truman_performance,compare_films,the-prestige,truman-show,Performance,3,100.0,,,high,1.0,False,0,True,,,
compare_prestige_requiem_obsession,compare_films,the-prestige,requiem-for-a-dream,Obsession,3,100.0,,,high,1.0,False,0,True,,,
compare_memento_donnie_reality,compare_films,memento,donnie-darko,Illusion,3,0.0,,,high,0.92,False,0,True,,,
compare_memento_machinist_identity,compare_films,memento,the-machinist,Identity,3,100.0,,,high,1.0,False,0,True,,,
compare_taxi_donnie_isolation,compare_films,taxi-driver,donnie-darko,Isolation,3,100.0,,,high,1.0,False,0,True,,,
compare_shutter_donnie_trauma,compare_films,shutter-island,donnie-darko,Trauma,3,100.0,,,high,1.0,False,0,True,,,
compare_shutter_mulholland_reality,compare_films,shutter-island,mulholland-drive,Illusion,3,0.0,,,high,0.84,False,0,True,,,
compare_black_swan_requiem_obsession,compare_films,black-swan,requiem-for-a-dream,Obsession,3,100.0,,,high,1.0,False,0,True,,,
compare_sixth_sense_machinist_trauma,compare_films,sixth-sense,the-machinist,Trauma,3,100.0,,,high,1.0,False,0,True,,,
compare_requiem_machinist_trauma,compare_films,requiem-for-a-dream,the-machinist,Trauma,3,100.0,,,high,1.0,False,0,True,,,
compare_mulholland_truman_reality,compare_films,mulholland-drive,truman-show,Illusion,3,0.0,,,high,1.0,False,0,True,,,
compare_shawshank_cuckoo_freedom,compare_films,shawshank-redemption,one-flew-over-the-cuckoos-nest,Freedom,3,100.0,,,,,,,,,,
compare_shawshank_prisoners_justice,compare_films,shawshank-redemption,prisoners,Justice,3,100.0,,,,,,,,,,
compare_shawshank_truman_control,compare_films,shawshank-redemption,truman-show,Control,3,100.0,,,,,,,,,,
compare_fight_se7en_violence,compare_films,fight-club,se7en,Violence,3,100.0,,,,,,,,,,
compare_fight_memento_identity,compare_films,fight-club,memento,Identity,3,100.0,,,,,,,,,,
compare_fight_lambs_identity,compare_films,fight-club,silence-of-the-lambs,Identity,3,100.0,,,,,,,,,,
compare_fight_black_swan_obsession,compare_films,fight-club,black-swan,Obsession,3,100.0,,,,,,,,,,
compare_cuckoo_black_swan_control,compare_films,one-flew-over-the-cuckoos-nest,black-swan,Control,3,100.0,,,,,,,,,,
compare_cuckoo_truman_control,compare_films,one-flew-over-the-cuckoos-nest,truman-show,Control,3,100.0,,,,,,,,,,
compare_cuckoo_lambs_identity,compare_films,one-flew-over-the-cuckoos-nest,silence-of-the-lambs,Identity,3,100.0,,,,,,,,,,
compare_se7en_memento_guilt,compare_films,se7en,memento,Guilt,3,0.0,,,,,,,,,,
compare_se7en_prisoners_violence,compare_films,se7en,prisoners,Violence,3,100.0,,,,,,,,,,
compare_lambs_gone_girl_control,compare_films,silence-of-the-lambs,gone-girl,Control,3,100.0,,,,,,,,,,
