id,mode,film_a,film_b,lens,trials,retrieval_pass_rate,avg_film_match_rate,avg_lens_match_rate,avg_concrete_evidence_rate,avg_plot_summary_rate,avg_source_diversity,avg_source_role_diversity,comparison_balance_pass_rate,answer_passed,answer_quality_score,answer_coverage_level,answer_coverage_score,answer_retry_used,answer_failure_count,answer_judge_available,avg_response_latency_seconds
analyze_memento_memory,analyze_film,memento,,Memory,3,100.0,1.0,1.0,1.0,0.0,6.0,4.0,,True,4.9,high,1.0,False,0,True,14.66
analyze_black_swan_performance,analyze_film,black-swan,,Performance,3,100.0,1.0,1.0,0.917,0.083,7.0,5.0,,True,5.0,high,1.0,False,0,True,9.404
analyze_taxi_driver_isolation,analyze_film,taxi-driver,,Isolation,3,100.0,1.0,0.917,0.917,0.083,5.0,4.0,,True,5.0,high,0.93,False,0,True,9.084
analyze_machinist_guilt,analyze_film,the-machinist,,Guilt,3,100.0,1.0,1.0,1.0,0.0,6.0,4.0,,True,5.0,high,1.0,False,0,True,17.532
analyze_donnie_darko_reality,analyze_film,donnie-darko,,Reality vs Illusion,3,100.0,1.0,1.0,1.0,0.0,6.0,4.0,,True,4.8,high,1.0,False,0,True,11.75
analyze_truman_control,analyze_film,truman-show,,Control,3,100.0,1.0,1.0,1.0,0.0,6.0,5.0,,True,5.0,high,1.0,False,0,True,
analyze_gone_girl_performance,analyze_film,gone-girl,,Performance,3,100.0,1.0,1.0,0.833,0.167,7.0,4.0,,True,4.8,high,1.0,True,0,True,
analyze_prisoners_justice,analyze_film,prisoners,,Justice,3,100.0,1.0,0.917,1.0,0.0,6.0,4.0,,True,,high,0.76,False,0,False,
analyze_fight_club_identity,analyze_film,fight-club,,Identity,3,100.0,1.0,1.0,1.0,0.0,6.0,4.0,,True,4.7,high,1.0,False,0,True,
analyze_se7en_justice,analyze_film,se7en,,Justice,3,100.0,1.0,1.0,1.0,0.0,5.0,4.0,,True,4.9,high,0.93,False,0,True,
analyze_shutter_island_trauma,analyze_film,shutter-island,,Trauma,3,100.0,1.0,1.0,1.0,0.0,7.0,4.0,,True,4.5,high,1.0,False,0,True,
analyze_mulholland_drive_identity,analyze_film,mulholland-drive,,Identity,3,100.0,1.0,1.0,0.917,0.083,6.0,5.0,,True,5.0,high,1.0,False,0,True,
compare_memento_shutter_guilt,compare_films,memento,shutter-island,Guilt,3,100.0,1.0,0.917,1.0,0.0,8.0,4.0,100.0,True,4.9,high,1.0,False,0,True,
compare_memento_shutter_memory,compare_films,memento,shutter-island,Memory,3,100.0,1.0,0.917,1.0,0.0,7.0,4.0,100.0,True,5.0,high,0.92,False,0,True,
compare_black_swan_prestige_performance,compare_films,black-swan,the-prestige,Performance,3,100.0,1.0,1.0,1.0,0.0,8.0,5.0,100.0,True,5.0,high,1.0,False,0,True,
compare_taxi_fight_violence,compare_films,taxi-driver,fight-club,Violence,3,100.0,1.0,1.0,1.0,0.0,7.0,4.0,100.0,True,4.8,high,0.92,False,0,True,
compare_truman_gone_girl_control,compare_films,truman-show,gone-girl,Control,3,100.0,1.0,1.0,0.917,0.083,7.0,4.0,100.0,True,4.7,high,1.0,False,0,True,
compare_truman_gone_girl_performance,compare_films,truman-show,gone-girl,Performance,3,100.0,1.0,1.0,0.917,0.083,8.0,4.0,100.0,True,4.9,high,0.92,False,0,True,
compare_se7en_prisoners_justice,compare_films,se7en,prisoners,Justice,3,100.0,1.0,0.917,1.0,0.0,8.0,4.0,100.0,True,4.9,high,1.0,False,0,True,
compare_shawshank_cuckoo_control,compare_films,shawshank-redemption,one-flew-over-the-cuckoos-nest,Control,3,100.0,1.0,1.0,1.0,0.0,9.0,4.0,100.0,True,4.9,high,1.0,False,0,True,
compare_shawshank_truman_freedom,compare_films,shawshank-redemption,truman-show,Freedom,3,100.0,1.0,1.0,1.0,0.0,8.0,4.0,100.0,True,4.9,high,1.0,False,0,True,
compare_shawshank_se7en_justice,compare_films,shawshank-redemption,se7en,Justice,3,100.0,1.0,1.0,0.917,0.083,9.0,4.0,100.0,True,5.0,high,1.0,False,0,True,
compare_fight_club_black_swan_identity,compare_films,fight-club,black-swan,Identity,3,100.0,1.0,1.0,0.917,0.083,6.0,5.0,100.0,True,5.0,high,1.0,False,0,True,
compare_fight_club_prestige_obsession,compare_films,fight-club,the-prestige,Obsession,3,100.0,1.0,0.917,1.0,0.0,7.0,3.0,100.0,True,4.6,high,1.0,False,0,True,
compare_fight_club_gone_girl_identity,compare_films,fight-club,gone-girl,Identity,3,100.0,1.0,1.0,1.0,0.0,7.0,4.0,100.0,True,4.9,high,0.92,False,0,True,
compare_cuckoo_lambs_control,compare_films,one-flew-over-the-cuckoos-nest,silence-of-the-lambs,Control,3,100.0,1.0,1.0,1.0,0.0,7.0,4.0,100.0,True,4.7,high,0.92,False,0,True,
compare_cuckoo_truman_freedom,compare_films,one-flew-over-the-cuckoos-nest,truman-show,Freedom,3,100.0,1.0,1.0,0.917,0.083,9.0,4.0,100.0,True,5.0,high,1.0,False,0,True,
compare_se7en_machinist_guilt,compare_films,se7en,the-machinist,Guilt,3,100.0,1.0,0.917,1.0,0.0,8.0,4.0,100.0,True,4.6,high,1.0,False,0,True,
compare_se7en_requiem_obsession,compare_films,se7en,requiem-for-a-dream,Obsession,3,100.0,1.0,1.0,1.0,0.0,7.0,3.0,100.0,True,4.7,high,1.0,False,0,True,
compare_lambs_black_swan_control,compare_films,silence-of-the-lambs,black-swan,Control,3,100.0,1.0,0.917,1.0,0.0,7.0,3.0,100.0,True,4.6,high,1.0,False,0,True,
compare_lambs_gone_girl_identity,compare_films,silence-of-the-lambs,gone-girl,Identity,3,100.0,1.0,1.0,1.0,0.0,6.0,4.0,100.0,True,4.7,high,0.84,False,0,True,
compare_prestige_truman_performance,compare_films,the-prestige,truman-show,Performance,3,100.0,1.0,1.0,1.0,0.0,7.0,4.0,100.0,True,4.9,high,1.0,False,0,True,
compare_prestige_requiem_obsession,compare_films,the-prestige,requiem-for-a-dream,Obsession,3,100.0,1.0,0.917,1.0,0.0,7.0,4.0,100.0,True,5.0,high,1.0,False,0,True,
