id,film_slug,film_title,lens,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,overall
shawshank-redemption__freedom,shawshank-redemption,The Shawshank Redemption,Freedom,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
shawshank-redemption__justice,shawshank-redemption,The Shawshank Redemption,Justice,12,1.0,0.417,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
shawshank-redemption__control,shawshank-redemption,The Shawshank Redemption,Control,12,1.0,0.167,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
shawshank-redemption__hope,shawshank-redemption,The Shawshank Redemption,Hope,12,1.0,0.917,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
shawshank-redemption__institutional_control,shawshank-redemption,The Shawshank Redemption,Institutional Control,12,1.0,0.75,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
shawshank-redemption__friendship,shawshank-redemption,The Shawshank Redemption,Friendship,12,1.0,0.333,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
fight-club__identity,fight-club,Fight Club,Identity,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
fight-club__violence,fight-club,Fight Club,Violence,12,1.0,0.583,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
fight-club__obsession,fight-club,Fight Club,Obsession,12,1.0,0.167,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
fight-club__masculinity,fight-club,Fight Club,Masculinity,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
fight-club__consumerism,fight-club,Fight Club,Consumerism,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
fight-club__doubles,fight-club,Fight Club,Doubles,12,1.0,0.083,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
one-flew-over-the-cuckoos-nest__control,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Control,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__freedom,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Freedom,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__identity,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Identity,12,1.0,0.083,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
