id,film_slug,film_title,lens,lens_scope,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,overall
shawshank-redemption__freedom,shawshank-redemption,The Shawshank Redemption,Freedom,primary,12,1.0,1.0,0.917,0.083,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 2, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
shawshank-redemption__justice,shawshank-redemption,The Shawshank Redemption,Justice,primary,12,1.0,1.0,0.917,0.083,5,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 5, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
shawshank-redemption__control,shawshank-redemption,The Shawshank Redemption,Control,primary,12,1.0,0.917,0.917,0.083,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 3, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 3}",pass
fight-club__identity,fight-club,Fight Club,Identity,primary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 6, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
fight-club__violence,fight-club,Fight Club,Violence,primary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 7, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
fight-club__obsession,fight-club,Fight Club,Obsession,primary,12,1.0,0.917,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__control,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Control,primary,12,1.0,1.0,1.0,0.0,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__freedom,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Freedom,primary,12,1.0,1.0,1.0,0.0,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 3, ""interpretive_claim"": 5, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__identity,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Identity,primary,12,1.0,0.833,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 2, ""interpretive_claim"": 4, ""scene_evidence"": 3}",pass
se7en__justice,se7en,Se7en,Justice,primary,12,1.0,1.0,1.0,0.0,5,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 2, ""interpretive_claim"": 3, ""scene_evidence"": 5}",pass
se7en__violence,se7en,Se7en,Violence,primary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 2, ""interpretive_claim"": 3, ""scene_evidence"": 5}",pass
se7en__obsession,se7en,Se7en,Obsession,primary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 4, ""interpretive_claim"": 1, ""scene_evidence"": 4}",pass
se7en__guilt,se7en,Se7en,Guilt,primary,12,1.0,1.0,1.0,0.0,5,3,criticism|scholarship|screenplay,"{""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 6}",pass
silence-of-the-lambs__identity,silence-of-the-lambs,The Silence of the Lambs,Identity,primary,12,1.0,0.917,1.0,0.0,6,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 4, ""interpretive_claim"": 5, ""scene_evidence"": 2}",pass
silence-of-the-lambs__control,silence-of-the-lambs,The Silence of the Lambs,Control,primary,12,1.0,1.0,1.0,0.0,6,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 7, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
the-prestige__obsession,the-prestige,The Prestige,Obsession,primary,12,1.0,0.917,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 3, ""interpretive_claim"": 2, ""scene_evidence"": 7}",pass
